question_id,domain_id,objective_id,type,difficulty,tags
ITS-NET-1.1-001,1,1.1,single-choice,easy,1.1|define-network-concepts
ITS-NET-1.1-002,1,1.1,single-choice,easy,1.1|define-network-concepts
ITS-NET-1.1-003,1,1.1,scenario,medium,1.1|define-network-concepts
ITS-NET-1.1-004,1,1.1,single-choice,easy,1.1|define-network-concepts
ITS-NET-1.1-005,1,1.1,scenario,easy,1.1|define-network-concepts
ITS-NET-1.1-006,1,1.1,single-choice,easy,1.1|define-network-concepts
ITS-NET-1.1-007,1,1.1,scenario,medium,1.1|define-network-concepts
ITS-NET-1.1-008,1,1.1,single-choice,easy,1.1|define-network-concepts
ITS-NET-1.1-009,1,1.1,multiple-choice,medium,1.1|define-network-concepts
ITS-NET-1.1-010,1,1.1,scenario,easy,1.1|define-network-concepts
ITS-NET-1.1-011,1,1.1,single-choice,medium,1.1|define-network-concepts
ITS-NET-1.2-001,1,1.2,single-choice,easy,1.2|define-cloud-and-virtualization-concepts
ITS-NET-1.2-002,1,1.2,single-choice,easy,1.2|define-cloud-and-virtualization-concepts
ITS-NET-1.2-003,1,1.2,scenario,medium,1.2|define-cloud-and-virtualization-concepts
ITS-NET-1.2-004,1,1.2,single-choice,medium,1.2|define-cloud-and-virtualization-concepts
ITS-NET-1.2-005,1,1.2,scenario,easy,1.2|define-cloud-and-virtualization-concepts
ITS-NET-1.2-006,1,1.2,multiple-choice,medium,1.2|define-cloud-and-virtualization-concepts
ITS-NET-1.2-007,1,1.2,single-choice,medium,1.2|define-cloud-and-virtualization-concepts
ITS-NET-1.2-008,1,1.2,scenario,hard,1.2|define-cloud-and-virtualization-concepts
ITS-NET-1.3-001,1,1.3,single-choice,easy,1.3|describe-remote-access-methods
ITS-NET-1.3-002,1,1.3,single-choice,easy,1.3|describe-remote-access-methods
ITS-NET-1.3-003,1,1.3,scenario,medium,1.3|describe-remote-access-methods
ITS-NET-1.3-004,1,1.3,scenario,medium,1.3|describe-remote-access-methods
ITS-NET-1.3-005,1,1.3,single-choice,easy,1.3|describe-remote-access-methods
ITS-NET-1.3-006,1,1.3,single-choice,medium,1.3|describe-remote-access-methods
ITS-NET-1.3-007,1,1.3,scenario,easy,1.3|describe-remote-access-methods
ITS-NET-1.3-008,1,1.3,multiple-choice,medium,1.3|describe-remote-access-methods
ITS-NET-1.3-009,1,1.3,scenario,hard,1.3|describe-remote-access-methods
ITS-NET-1.3-010,1,1.3,single-choice,medium,1.3|describe-remote-access-methods
ITS-NET-2.1-001,2,2.1,single-choice,medium,2.1|define-characteristics-of-local-area-networks-(lans)
ITS-NET-2.1-002,2,2.1,scenario,easy,2.1|define-characteristics-of-local-area-networks-(lans)
ITS-NET-2.1-003,2,2.1,single-choice,easy,2.1|define-characteristics-of-local-area-networks-(lans)
ITS-NET-2.1-004,2,2.1,single-choice,easy,2.1|define-characteristics-of-local-area-networks-(lans)
ITS-NET-2.1-005,2,2.1,multiple-choice,medium,2.1|define-characteristics-of-local-area-networks-(lans)
ITS-NET-2.1-006,2,2.1,scenario,medium,2.1|define-characteristics-of-local-area-networks-(lans)
ITS-NET-2.1-007,2,2.1,single-choice,medium,2.1|define-characteristics-of-local-area-networks-(lans)
ITS-NET-2.1-008,2,2.1,single-choice,easy,2.1|define-characteristics-of-local-area-networks-(lans)
ITS-NET-2.2-001,2,2.2,single-choice,easy,2.2|define-characteristics-of-wide-area-networks-(wans)
ITS-NET-2.2-002,2,2.2,single-choice,easy,2.2|define-characteristics-of-wide-area-networks-(wans)
ITS-NET-2.2-003,2,2.2,scenario,medium,2.2|define-characteristics-of-wide-area-networks-(wans)
ITS-NET-2.2-004,2,2.2,single-choice,easy,2.2|define-characteristics-of-wide-area-networks-(wans)
ITS-NET-2.2-005,2,2.2,scenario,medium,2.2|define-characteristics-of-wide-area-networks-(wans)
ITS-NET-2.2-006,2,2.2,multiple-choice,medium,2.2|define-characteristics-of-wide-area-networks-(wans)
ITS-NET-2.3-001,2,2.3,single-choice,easy,2.3|identify-wireless-networking-methods-and-characteristics
ITS-NET-2.3-002,2,2.3,single-choice,easy,2.3|identify-wireless-networking-methods-and-characteristics
ITS-NET-2.3-003,2,2.3,single-choice,easy,2.3|identify-wireless-networking-methods-and-characteristics
ITS-NET-2.3-004,2,2.3,single-choice,medium,2.3|identify-wireless-networking-methods-and-characteristics
ITS-NET-2.3-005,2,2.3,single-choice,medium,2.3|identify-wireless-networking-methods-and-characteristics
ITS-NET-2.3-006,2,2.3,scenario,medium,2.3|identify-wireless-networking-methods-and-characteristics
ITS-NET-2.3-007,2,2.3,scenario,medium,2.3|identify-wireless-networking-methods-and-characteristics
ITS-NET-2.3-008,2,2.3,scenario,medium,2.3|identify-wireless-networking-methods-and-characteristics
ITS-NET-2.3-009,2,2.3,scenario,hard,2.3|identify-wireless-networking-methods-and-characteristics
ITS-NET-2.3-010,2,2.3,multiple-choice,hard,2.3|identify-wireless-networking-methods-and-characteristics
ITS-NET-2.4-001,2,2.4,single-choice,easy,2.4|compare-and-contrast-network-topologies-and-access-methods
ITS-NET-2.4-002,2,2.4,single-choice,medium,2.4|compare-and-contrast-network-topologies-and-access-methods
ITS-NET-2.4-003,2,2.4,single-choice,easy,2.4|compare-and-contrast-network-topologies-and-access-methods
ITS-NET-2.4-004,2,2.4,single-choice,easy,2.4|compare-and-contrast-network-topologies-and-access-methods
ITS-NET-2.4-005,2,2.4,scenario,hard,2.4|compare-and-contrast-network-topologies-and-access-methods
ITS-NET-3.1-001,3,3.1,single-choice,easy,3.1|describe-characteristics-of-switches
ITS-NET-3.1-002,3,3.1,single-choice,easy,3.1|describe-characteristics-of-switches
ITS-NET-3.1-003,3,3.1,single-choice,easy,3.1|describe-characteristics-of-switches
ITS-NET-3.1-004,3,3.1,command-output,hard,3.1|describe-characteristics-of-switches
ITS-NET-3.1-005,3,3.1,scenario,medium,3.1|describe-characteristics-of-switches
ITS-NET-3.1-006,3,3.1,scenario,medium,3.1|describe-characteristics-of-switches
ITS-NET-3.1-007,3,3.1,scenario,medium,3.1|describe-characteristics-of-switches
ITS-NET-3.1-008,3,3.1,command-output,hard,3.1|describe-characteristics-of-switches
ITS-NET-3.1-009,3,3.1,single-choice,easy,3.1|describe-characteristics-of-switches
ITS-NET-3.1-010,3,3.1,multiple-choice,hard,3.1|describe-characteristics-of-switches
ITS-NET-3.1-011,3,3.1,scenario,hard,3.1|describe-characteristics-of-switches
ITS-NET-3.2-001,3,3.2,single-choice,easy,3.2|describe-characteristics-of-routers
ITS-NET-3.2-002,3,3.2,single-choice,easy,3.2|describe-characteristics-of-routers
ITS-NET-3.2-003,3,3.2,single-choice,medium,3.2|describe-characteristics-of-routers
ITS-NET-3.2-004,3,3.2,single-choice,easy,3.2|describe-characteristics-of-routers
ITS-NET-3.2-005,3,3.2,command-output,hard,3.2|describe-characteristics-of-routers
ITS-NET-3.2-006,3,3.2,scenario,medium,3.2|describe-characteristics-of-routers
ITS-NET-3.2-007,3,3.2,scenario,medium,3.2|describe-characteristics-of-routers
ITS-NET-3.2-008,3,3.2,scenario,medium,3.2|describe-characteristics-of-routers
ITS-NET-3.2-009,3,3.2,scenario,hard,3.2|describe-characteristics-of-routers
ITS-NET-3.2-010,3,3.2,scenario,medium,3.2|describe-characteristics-of-routers
ITS-NET-3.3-001,3,3.3,single-choice,easy,3.3|describe-characteristics-of-physical-media
ITS-NET-3.3-002,3,3.3,scenario,medium,3.3|describe-characteristics-of-physical-media
ITS-NET-3.3-003,3,3.3,single-choice,medium,3.3|describe-characteristics-of-physical-media
ITS-NET-3.3-004,3,3.3,single-choice,easy,3.3|describe-characteristics-of-physical-media
ITS-NET-3.3-005,3,3.3,scenario,medium,3.3|describe-characteristics-of-physical-media
ITS-NET-3.3-006,3,3.3,single-choice,easy,3.3|describe-characteristics-of-physical-media
ITS-NET-3.3-007,3,3.3,scenario,medium,3.3|describe-characteristics-of-physical-media
ITS-NET-3.3-008,3,3.3,multiple-choice,hard,3.3|describe-characteristics-of-physical-media
ITS-NET-4.1-001,4,4.1,multiple-choice,medium,4.1|describe-the-osi-model
ITS-NET-4.1-002,4,4.1,scenario,medium,4.1|describe-the-osi-model
ITS-NET-4.1-003,4,4.1,command-output,medium,4.1|describe-the-osi-model
ITS-NET-4.1-004,4,4.1,multiple-choice,hard,4.1|describe-the-osi-model
ITS-NET-4.2-001,4,4.2,single-choice,medium,4.2|describe-the-tcp/ip-model
ITS-NET-4.2-002,4,4.2,multiple-choice,medium,4.2|describe-the-tcp/ip-model
ITS-NET-4.2-003,4,4.2,scenario,medium,4.2|describe-the-tcp/ip-model
ITS-NET-4.2-004,4,4.2,multiple-choice,hard,4.2|describe-the-tcp/ip-model
ITS-NET-4.3-001,4,4.3,scenario,medium,4.3|describe-ipv4-concepts
ITS-NET-4.3-002,4,4.3,multiple-choice,hard,4.3|describe-ipv4-concepts
ITS-NET-4.3-003,4,4.3,subnetting,medium,4.3|describe-ipv4-concepts
ITS-NET-4.3-004,4,4.3,subnetting,hard,4.3|describe-ipv4-concepts
ITS-NET-4.3-005,4,4.3,subnetting,medium,4.3|describe-ipv4-concepts
ITS-NET-4.3-006,4,4.3,multiple-choice,hard,4.3|describe-ipv4-concepts
ITS-NET-4.4-001,4,4.4,single-choice,medium,4.4|describe-ipv6-concepts
ITS-NET-4.4-002,4,4.4,multiple-choice,hard,4.4|describe-ipv6-concepts
ITS-NET-4.4-003,4,4.4,multiple-choice,medium,4.4|describe-ipv6-concepts
ITS-NET-4.4-004,4,4.4,scenario,hard,4.4|describe-ipv6-concepts
ITS-NET-4.5-001,4,4.5,multiple-choice,medium,4.5|identify-well-known-ports
ITS-NET-4.5-002,4,4.5,multiple-choice,hard,4.5|identify-well-known-ports
ITS-NET-4.5-003,4,4.5,multiple-choice,medium,4.5|identify-well-known-ports
ITS-NET-4.5-004,4,4.5,multiple-choice,hard,4.5|identify-well-known-ports
ITS-NET-4.6-001,4,4.6,multiple-choice,hard,4.6|describe-name-resolution-concepts
ITS-NET-4.6-002,4,4.6,multiple-choice,hard,4.6|describe-name-resolution-concepts
ITS-NET-4.6-003,4,4.6,scenario,hard,4.6|describe-name-resolution-concepts
ITS-NET-4.6-004,4,4.6,command-output,hard,4.6|describe-name-resolution-concepts
ITS-NET-4.7-001,4,4.7,command-output,medium,4.7|identify-roles-of-networking-services
ITS-NET-4.7-002,4,4.7,multiple-choice,hard,4.7|identify-roles-of-networking-services
ITS-NET-4.7-003,4,4.7,scenario,hard,4.7|identify-roles-of-networking-services
ITS-NET-5.1-001,5,5.1,scenario,medium,5.1|apply-troubleshooting-process-in-a-small-medium-business-network
ITS-NET-5.1-002,5,5.1,scenario,medium,5.1|apply-troubleshooting-process-in-a-small-medium-business-network
ITS-NET-5.1-003,5,5.1,scenario,hard,5.1|apply-troubleshooting-process-in-a-small-medium-business-network
ITS-NET-5.1-004,5,5.1,scenario,medium,5.1|apply-troubleshooting-process-in-a-small-medium-business-network
ITS-NET-5.1-005,5,5.1,scenario,medium,5.1|apply-troubleshooting-process-in-a-small-medium-business-network
ITS-NET-5.1-006,5,5.1,scenario,medium,5.1|apply-troubleshooting-process-in-a-small-medium-business-network
ITS-NET-5.2-001,5,5.2,command-output,medium,5.2|use-appropriate-hardware-troubleshooting-tools
ITS-NET-5.2-002,5,5.2,scenario,medium,5.2|use-appropriate-hardware-troubleshooting-tools
ITS-NET-5.2-003,5,5.2,command-output,hard,5.2|use-appropriate-hardware-troubleshooting-tools
ITS-NET-5.2-004,5,5.2,command-output,hard,5.2|use-appropriate-hardware-troubleshooting-tools
ITS-NET-5.2-005,5,5.2,scenario,medium,5.2|use-appropriate-hardware-troubleshooting-tools
ITS-NET-5.2-006,5,5.2,multiple-choice,hard,5.2|use-appropriate-hardware-troubleshooting-tools
ITS-NET-5.3-001,5,5.3,command-output,hard,5.3|use-windows-software-troubleshooting-tools
ITS-NET-5.3-002,5,5.3,command-output,medium,5.3|use-windows-software-troubleshooting-tools
ITS-NET-5.3-003,5,5.3,command-output,hard,5.3|use-windows-software-troubleshooting-tools
ITS-NET-5.3-004,5,5.3,command-output,hard,5.3|use-windows-software-troubleshooting-tools
ITS-NET-5.3-005,5,5.3,command-output,hard,5.3|use-windows-software-troubleshooting-tools
ITS-NET-5.3-006,5,5.3,command-output,easy,5.3|use-windows-software-troubleshooting-tools
ITS-NET-5.3-007,5,5.3,command-output,hard,5.3|use-windows-software-troubleshooting-tools
ITS-NET-5.3-008,5,5.3,command-output,medium,5.3|use-windows-software-troubleshooting-tools
ITS-NET-5.3-009,5,5.3,scenario,hard,5.3|use-windows-software-troubleshooting-tools
ITS-NET-5.4-001,5,5.4,command-output,hard,5.4|use-linux-software-troubleshooting-tools
ITS-NET-5.4-002,5,5.4,command-output,medium,5.4|use-linux-software-troubleshooting-tools
ITS-NET-5.4-003,5,5.4,command-output,hard,5.4|use-linux-software-troubleshooting-tools
ITS-NET-5.4-004,5,5.4,command-output,hard,5.4|use-linux-software-troubleshooting-tools
ITS-NET-5.4-005,5,5.4,command-output,hard,5.4|use-linux-software-troubleshooting-tools
ITS-NET-5.4-006,5,5.4,command-output,medium,5.4|use-linux-software-troubleshooting-tools
ITS-NET-5.4-007,5,5.4,command-output,hard,5.4|use-linux-software-troubleshooting-tools
ITS-NET-5.4-008,5,5.4,command-output,medium,5.4|use-linux-software-troubleshooting-tools
